Train No,Train name,Type,Distance,Destination/path,Day of week,Delay(min)
,,,,,,
,,(0/1),(0/1),(1/2/3/4),(1/2/…/7)),
12004,Lucknow Swarn Shatabdi,0,0,4,1,12
12004,Lucknow Swarn Shatabdi,0,0,4,2,26
12004,Lucknow Swarn Shatabdi,0,0,4,3,22
12004,Lucknow Swarn Shatabdi,0,0,4,4,16
12004,Lucknow Swarn Shatabdi,0,0,4,5,27
12004,Lucknow Swarn Shatabdi,0,0,4,6,30
12004,Lucknow Swarn Shatabdi,0,0,4,7,35
12004,Lucknow Swarn Shatabdi,0,0,4,1,16
12004,Lucknow Swarn Shatabdi,0,0,4,2,20
12004,Lucknow Swarn Shatabdi,0,0,4,3,14
12004,Lucknow Swarn Shatabdi,0,0,4,4,13
12004,Lucknow Swarn Shatabdi,0,0,4,5,18
12004,Lucknow Swarn Shatabdi,0,0,4,6,24
12004,Lucknow Swarn Shatabdi,0,0,4,7,29
12005,Lucknow Swarn Shatabdi,0,0,4,1,21
12006,Lucknow Swarn Shatabdi,0,0,4,2,14
12007,Lucknow Swarn Shatabdi,0,0,4,3,9
12008,Lucknow Swarn Shatabdi,0,0,4,4,12
12009,Lucknow Swarn Shatabdi,0,0,4,5,14
12010,Lucknow Swarn Shatabdi,0,0,4,6,12
12011,Lucknow Swarn Shatabdi,0,0,4,7,23
12012,Lucknow Swarn Shatabdi,0,0,4,1,17
12013,Lucknow Swarn Shatabdi,0,0,4,2,14
12014,Lucknow Swarn Shatabdi,0,0,4,3,13
12015,Lucknow Swarn Shatabdi,0,0,4,4,21
12016,Lucknow Swarn Shatabdi,0,0,4,5,26
12017,Lucknow Swarn Shatabdi,0,0,4,6,19
12018,Lucknow Swarn Shatabdi,0,0,4,7,29
12420,Gomti express,1,0,4,1,24
12421,Gomti express,1,0,4,2,43
12422,Gomti express,1,0,4,3,62
12423,Gomti express,1,0,4,4,52
12424,Gomti express,1,0,4,5,33
12425,Gomti express,1,0,4,6,67
12426,Gomti express,1,0,4,7,80
12427,Gomti express,1,0,4,1,30
12428,Gomti express,1,0,4,2,35
12429,Gomti express,1,0,4,3,55
12430,Gomti express,1,0,4,4,34
12431,Gomti express,1,0,4,5,40
12432,Gomti express,1,0,4,6,70
12433,Gomti express,1,0,4,7,77
12434,Gomti express,1,0,4,1,32
12435,Gomti express,1,0,4,2,28
12436,Gomti express,1,0,4,3,36
12437,Gomti express,1,0,4,4,41
12438,Gomti express,1,0,4,5,54
12439,Gomti express,1,0,4,6,78
12440,Gomti express,1,0,4,7,90
12441,Gomti express,1,0,4,1,61
12442,Gomti express,1,0,4,2,39
12443,Gomti express,1,0,4,3,27
12444,Gomti express,1,0,4,4,33
12445,Gomti express,1,0,4,5,45
12446,Gomti express,1,0,4,6,46
12447,Gomti express,1,0,4,7,32
12554,vaishali express,1,0,4,1,104
12555,vaishali express,1,0,4,2,56
12556,vaishali express,1,0,4,3,60
12557,vaishali express,1,0,4,4,55
12558,vaishali express,1,0,4,5,109
12559,vaishali express,1,0,4,6,115
12560,vaishali express,1,0,4,7,140
12561,vaishali express,1,0,4,1,70
12562,vaishali express,1,0,4,2,67
12563,vaishali express,1,0,4,3,59
12564,vaishali express,1,0,4,4,80
12565,vaishali express,1,0,4,5,101
12566,vaishali express,1,0,4,6,120
12567,vaishali express,1,0,4,7,133
12568,vaishali express,1,0,4,1,108
12569,vaishali express,1,0,4,2,97
12570,vaishali express,1,0,4,3,59
12571,vaishali express,1,0,4,4,62
12572,vaishali express,1,0,4,5,65
12573,vaishali express,1,0,4,6,66
12574,vaishali express,1,0,4,7,92
12575,vaishali express,1,0,4,1,53
12576,vaishali express,1,0,4,2,45
12577,vaishali express,1,0,4,3,57
12578,vaishali express,1,0,4,4,65
12579,vaishali express,1,0,4,5,44
12580,vaishali express,1,0,4,6,69
12581,vaishali express,1,0,4,7,76
12138,Punjab Mail,1,1,1,1,38
12138,Punjab Mail,1,1,1,2,5
12138,Punjab Mail,1,1,1,3,15
12138,Punjab Mail,1,1,1,4,0
12138,Punjab Mail,1,1,1,5,10
12138,Punjab Mail,1,1,1,6,14
12138,Punjab Mail,1,1,1,7,65
12138,Punjab Mail,1,1,1,1,42
12138,Punjab Mail,1,1,1,2,18
12138,Punjab Mail,1,1,1,3,13
12138,Punjab Mail,1,1,1,4,22
12138,Punjab Mail,1,1,1,5,14
12138,Punjab Mail,1,1,1,6,18
12138,Punjab Mail,1,1,1,7,45
12138,Punjab Mail,1,1,1,1,42
12138,Punjab Mail,1,1,1,2,23
12138,Punjab Mail,1,1,1,3,8
12138,Punjab Mail,1,1,1,4,23
12138,Punjab Mail,1,1,1,5,40
12138,Punjab Mail,1,1,1,6,15
12138,Punjab Mail,1,1,1,7,46
12138,Punjab Mail,1,1,1,1,28
12138,Punjab Mail,1,1,1,2,5
12138,Punjab Mail,1,1,1,3,20
12138,Punjab Mail,1,1,1,4,17
12138,Punjab Mail,1,1,1,5,13
12138,Punjab Mail,1,1,1,6,25
12138,Punjab Mail,1,1,1,7,39
12138,Punjab Mail,1,0,1,1,18
12138,Punjab Mail,1,0,1,2,0
12138,Punjab Mail,1,0,1,3,5
12138,Punjab Mail,1,0,1,4,0
12138,Punjab Mail,1,0,1,5,8
12138,Punjab Mail,1,0,1,6,4
12138,Punjab Mail,1,0,1,7,9
12138,Punjab Mail,1,0,1,1,11
12138,Punjab Mail,1,0,1,2,8
12138,Punjab Mail,1,0,1,3,3
12138,Punjab Mail,1,0,1,4,2
12138,Punjab Mail,1,0,1,5,4
12138,Punjab Mail,1,0,1,6,8
12138,Punjab Mail,1,0,1,7,15
12138,Punjab Mail,1,0,1,1,12
12138,Punjab Mail,1,0,1,2,9
12138,Punjab Mail,1,0,1,3,0
12138,Punjab Mail,1,0,1,4,11
12138,Punjab Mail,1,0,1,5,19
12138,Punjab Mail,1,0,1,6,6
12138,Punjab Mail,1,0,1,7,21
12138,Punjab Mail,1,0,1,1,15
12138,Punjab Mail,1,0,1,2,0
12138,Punjab Mail,1,0,1,3,7
12138,Punjab Mail,1,0,1,4,8
12138,Punjab Mail,1,0,1,5,6
12138,Punjab Mail,1,0,1,6,12
12138,Punjab Mail,1,0,1,7,19
18238,Chhatisgarh Express,1,1,1,1,35
18238,Chhatisgarh Express,1,1,1,2,0
18238,Chhatisgarh Express,1,1,1,3,29
18238,Chhatisgarh Express,1,1,1,5,17
18238,Chhatisgarh Express,1,1,1,6,10
18238,Chhatisgarh Express,1,1,1,7,55
18238,Chhatisgarh Express,1,1,1,1,25
18238,Chhatisgarh Express,1,1,1,2,12
18238,Chhatisgarh Express,1,1,1,3,3
18238,Chhatisgarh Express,1,1,1,5,0
18238,Chhatisgarh Express,1,1,1,6,18
18238,Chhatisgarh Express,1,1,1,7,28
18238,Chhatisgarh Express,1,1,1,1,25
18238,Chhatisgarh Express,1,1,1,2,10
18238,Chhatisgarh Express,1,1,1,3,13
18238,Chhatisgarh Express,1,1,1,5,17
18238,Chhatisgarh Express,1,1,1,6,30
18238,Chhatisgarh Express,1,1,1,7,45
18238,Chhatisgarh Express,1,1,1,1,54
18238,Chhatisgarh Express,1,1,1,2,32
18238,Chhatisgarh Express,1,1,1,3,12
18238,Chhatisgarh Express,1,1,1,5,23
18238,Chhatisgarh Express,1,1,1,6,7
18238,Chhatisgarh Express,1,1,1,7,26
18238,Chhatisgarh Express,1,0,1,1,15
18238,Chhatisgarh Express,1,0,1,2,0
18238,Chhatisgarh Express,1,0,1,3,11
18238,Chhatisgarh Express,1,0,1,5,6
18238,Chhatisgarh Express,1,0,1,6,10
18238,Chhatisgarh Express,1,0,1,7,25
18238,Chhatisgarh Express,1,0,1,1,14
18238,Chhatisgarh Express,1,0,1,2,4
18238,Chhatisgarh Express,1,0,1,3,5
18238,Chhatisgarh Express,1,0,1,5,2
18238,Chhatisgarh Express,1,0,1,6,7
18238,Chhatisgarh Express,1,0,1,7,12
18238,Chhatisgarh Express,1,0,1,1,15
