TrainNo,TrainName,TrainNumber,trainName,
12004,LJN SWRAN SHTBD,'00851',BNC SUVIDHA SPL,
12005,KALKA SHTBDI,'00852',BNC BBS SUVIDHA,
12006,KALKA SHTBDI,'01081',DR BSL T F SPL ,
12007,SHATABDI EXP,'01082',BSL DR T F SPL ,
12008,SHATABDI EXP,'01149',BSL CSN T F SPL,
12009,SHATABDI EXP,'01150',CSN BSL T F SPL,
12010,SHATABDI EXP,'01151',CSN DHI T F SPL,
12011,KALKA SHTBDI  ,'01152',DHI CSN T F SPL,
12012,KALKA SHTBDI  ,'01153',CSN CSTM T F SP,
12013,AMRITSAR SHTBDI,'01154',CSTM CSN T F SP,
12014,AMRITSAR SHTBDI,'01156',PVR NAVI KMN SP,
12015,AJMER SHTBDI,'01401',NGP TTKL FARE S,
12016,AJMER SHTBDI,'01402',NGP SUR T F SPL,
12017,DEHRADUN SHTBDI,'01419',PAU TTKL FARE S,
12018,DEHRADUN SHTBDI,'01420',PAU KOP SPL    ,
12420,GOMTI EXPRESS,'01427',PVR TTKL FAREPA,
12421,NED ASR SUP EXP,'01428',MRJ TKL FARE PA,
12422,ASR NED SF EXP ,'01655',PUNE JBP SUP SP,
12423,DBRT RAJDHANI E,'01656',JBP PUNE SPECIA,
12424,DBRT RAJDHANI ,'01711',CSTM JBP SPL   ,
12425,JAMMU RAJDHANI,'01712',JBP LTT SUP SPL,
12426,JAMMU RAJDHANI,'01713',LTT HBJ SUP SPL,
12427,REWA ANVT EXP  ,'01714',HBJ CSTM SUP SP,
12428,ANVT REWA EXP,'02111',LTT LKO AC SPL ,
12429,LKO NDLS AC SF,'02112',LKO  LTT AC SPL,
12430,NDLS LKO AC SF ,'02509',BNC KYQ SUVIDHA,
12431,RAJDHANI EXP,'02510',KYQ BNC SUVIDHA,
12432,TRIVNDRM RJDHNI,'02511',KYQ KUMBH SPL  ,
12433,RAJDHANI EXP ,'02512',KYQ PUNE SPECIA,
12434,CHENNAI RAJDHNI,'02590',GORAKHPUR  SPL ,
12435,DBRT RAJDHANI E,'02779',VSG SBC LINK EX,
12436,NDLS DBRT RJDHN,'02853',SUVIDHA SPECIAL,
12437,RAJDHANI EXP,'02873',VSKP TPTY SF SP,
12438,NZM SC RJDHNI,'02874',TPTY VSKP SF SP,
12439,RNC NDLS RAJ EX,'02877',KJM SPECIAL    ,
12440,NDLS RNC RAJ EX,'02878',KJM VSKP EXP   ,
12441,BSP NDLS RAJ EX,'02882',SUVIDHA SPL    ,
12442,BILASPUR RJDHNI,'03235',SBG DNR SPECIAL,
12443,HLZ ANVT WKLY S,'03236',DNR SBG SPL    ,
12444,ANVT HLZ S F EX,'03401',BGP DNR SPECIAL,
12445,UTTAR S KRANTI,'03402',DNR BGP SPL    ,
12446,UTTAR S KRANTI,'04401',ANVT SVDK SPL  ,
12447,U P SMPRK KRNTI,'04402',SVDK ANVT SPL  ,
12554,U P SMPRK KRNTI,'04403',LKO ANVT SPL   ,
12555,GORAKDAM EXPRES,'04404',ANVT LKO SPL   ,
12556,GORAKDAM EXPRES,'04405',LKO NDLS SPL   ,
